heräsinköhän	Herasinköhän liian aikaisin tänä aamuna?
johtuneekohan	Johtuneekohan tämä viivästys huonosta säästä?
lapsillaankaan	Hänellä ei ole lapsillaankaan aikaa.
innostuinpas	Innostuinpas todella uudesta harrastuksestani.
käsititköhän	Käsititköhän, mitä hän juuri sanoi?
mielipiteitään	Hän ei pelkää ilmaista mielipiteitään avoimesti.
mahtaisinkohan	Mahtaisinkohan löytää paremman työpaikan, jos muuttaisin toiseen kaupunkiin?
napsautinpas	Napsautinpas sähköpostin auki uteliaisuudesta.
kaksitasokuvauksiaan	Taiteilija esitteli uusimpia kaksitasokuvauksiaan näyttelyssä.
kokeilinkohan	Kokeilinkohan uutta reseptiä jo viime viikolla?
lähtökohdistaan	Jokainen ihminen tarkastelee maailmaa omista lähtökohdistaan.
kallistuvatkohan	Kallistuvatkohan nuo puut tuulen mukana?
mahtoivatkohan	Mahtoivatkohan he ymmärtää ohjeet oikein?
muuttuvatkohan	Muuttuvatkohan sääolosuhteet huomenna paremmiksi?
ehtisinköhän	Ehtisinköhän vielä käydä kaupassa ennen junan saapumista?
löytäisinköhän	Löytäisinköhän avaimeni tästä sotkusta?
näitköhän	Näitköhän sinä minun avaimeni?
kuorsaavatkohan	Kuorsaavatkohan he kovaa yöllä?
millaisillakohan	Millaisillakohan perusteilla he valitsivat uuden johtajan?
leikkivätköhän	Leikkivätköhän lapset jo ulkona?
olinkohan	Olinkohan liian ankara hänelle?
ohjauskorkojaan	Euroopan keskuspankki on päättänyt nostaa ohjauskorkojaan inflaation hillitsemiseksi.
olinpas	Olinpas onnellinen, kun sain uuden työpaikan.
olisivatkohan	Olisivatkohan he jo lähteneet kotiin?
olitkohan	Olitkohan sinä eilen kaupungilla?
osaavatkohan	Osaavatkohan he puhua suomea?
olivatkohan	Olivatkohan he jo lähteneet kotiin?
osaisinkohan	Osaisinkohan minä koskaan oppia soittamaan pianoa?
saattaisinpas	Jos olisin tiennyt, saattaisinpas toimia toisin.
osaisitkohan	Osaisitkohan sinä auttaa minua tämän tehtävän kanssa?
osasinkohan	Osasinkohan selittää asian tarpeeksi selkeästi?
pelkäävätköhän	Pelkäävätköhän lapset pimeää?
osasinpas	Osasinpas vain puhua suomea paremmin.
päädyinköhän	Päädyinköhän todella tänne ilman karttaa?
pääsisinköhän	Pääsisinköhän huomenna jo töistä aikaisemmin kotiin?
sainkohan	Sainkohan minä kaikki tarvittavat tiedot?
sainpas	Sainpas vihdoin tuon työprojektin valmiiksi.
saavatkohan	Saavatkohan he koskaan tietää totuuden?
pystyisinköhän	Pystyisinköhän tekemään tämän työn yksin?
saitkohan	Saitkohan sinä sen kirjeen, jonka lähetin?
sanoinkohan	Sanoinkohan sen oikein?
perustuslakivaliokunnan	Perustuslakivaliokunnan tehtävä on tarkastella lakiehdotusten perustuslainmukaisuutta.
selviävätköhän	Selviävätköhän he tästä tilanteesta?
suunnittelevatkohan	Suunnittelevatkohan he matkaa ulkomaille ensi kesänä?
selviytyisivätköhän	Mietin, selviytyisivätköhän he tästä haasteesta.
tajusivatkohan	Tajusivatkohan he mitä oikein tapahtui?
syyskuussakohan	Syyskuussakohan alkaa uusi lukukausi?
soolokeikoillaankin	Muusikko esiintyy soolokeikoillaankin suurella intohimolla.
tarvinneekohan	Tarvinneekohan meidän ostaa lisää maitoa kaupasta?
voisivatkohan	Voisivatkohan he tulla meille illalliselle?
tulinpas	Tulinpas myöhään kotiin eilen illalla.
unohtivatkohan	Unohtivatkohan he avaimet kotiin?
voitaisiinkohan	Voitaisiinkohan mennä elokuviin tänä iltana?
voivatkohan	Voivatkohan he tulla juhliin myöhässä?
ulkoasiainvaliokunnan	Hän on ulkoasiainvaliokunnan uusi jäsen.
tietokoneohjelmien	Hän on erikoistunut tietokoneohjelmien kehittämiseen.
väitöskirjantekijöiden	Väitöskirjantekijöiden työ on usein pitkä ja monimutkainen prosessi.
vanhimmillaankin	Vanhimmillaankin hän on yhä täynnä energiaa ja elämäniloa.
tule-jo-aurinko-vai-tulisitkohan	Odotan koko päivän, tule-jo-aurinko-vai-tulisitkohan, mutta pilvet eivät väisty.
