 ääköhän	ääköhän 	1
 äisiköhän	äisiköhän 	1
 äisköhän	äisköhän 	1
 äköhän	äköhän 	1
 äsköhän	äsköhän 	1
 kädessäpitäisiköhän	kädessäpitäisiköhän 	1
 kirjoittimitenköhän	kirjoittimitenköhän 	1
 liittyvästääisiköhän	liittyvästääisiköhän 	1
 miksköhän	miksköhän 	1
 myytäisköhän	myytäisköhän 	1
 öäisköhän	öäisköhän 	1
 pitäsköhän	pitäsköhän 	1
 riittäköhän	riittäköhän 	1
 köhän	köhä-n 	2
 mörköhän	mörkö-hän 	2
 nuhaköhän	nuhaköhä-n 	2
 eiköhän	ei-kö-hän 	3
 eivätköhän	eivät-kö-hän 	3
 emmeköhän	emme-kö-hän 	3
 enköhän	en-kö-hän 	3
 etköhän	et-kö-hän 	3
 etteiköhän	ettei-kö-hän 	3
 etteköhän	ette-kö-hän 	3
 käyköhän	käy-kö-hän 	3
 kenenköhän	kenen-kö-hän 	3
 lieköhän	lie-kö-hän 	3
 lieneeköhän	lienee-kö-hän 	3
 lienevätköhän	lienevät-kö-hän 	3
 mihinköhän	mihin-kö-hän 	3
 mikäköhän	mikä-kö-hän 	3
 miksiköhän	miksi-kö-hän 	3
 milläköhän	millä-kö-hän 	3
 miltäköhän	miltä-kö-hän 	3
 minkäköhän	minkä-kö-hän 	3
 missäköhän	missä-kö-hän 	3
 mistäköhän	mistä-kö-hän 	3
 mitäköhän	mitä-kö-hän 	3
 mitenköhän	miten-kö-hän 	3
 mitkäköhän	mitkä-kö-hän 	3
 näinköhän	näin-kö-hän 	3
 niinköhän	niin-kö-hän 	3
 seköhän	se-kö-hän 	3
 siksiköhän	siksi-kö-hän 	3
 vieläköhän	vielä-kö-hän 	3
 ehtiiköhän	ehti-i-kö-hän 	4
 ehtisiköhän	eht-isi-kö-hän 	4
 ehtisköhän	eht-is-kö-hän 	4
 häiritseeköhän	häiritse-e-kö-hän 	4
 hiertääköhän	hiertä-ä-kö-hän 	4
 ikävöinköhän	ikävöi-n-kö-hän 	4
 jääköhän	jä-ä-kö-hän 	4
 jäänköhän	jää-n-kö-hän 	4
 jäiköhän	jä-i-kö-hän 	4
 kävisköhän	käv-is-kö-hän 	4
 kerkeisiköhän	kerke-isi-kö-hän 	4
 kertyisiköhän	kerty-isi-kö-hän 	4
 kyseleeköhän	kysele-e-kö-hän 	4
 lähteeköhän	lähte-e-kö-hän 	4
 lähtisköhän	läht-is-kö-hän 	4
 liittyyköhän	liitty-y-kö-hän 	4
 löytyisiköhän	löyty-isi-kö-hän 	4
 löytyisköhän	löyty-is-kö-hän 	4
 löytyyköhän	löyty-y-kö-hän 	4
 meneeköhän	mene-e-kö-hän 	4
 menestyisiköhän	menesty-isi-kö-hän 	4
 meniköhän	men-i-kö-hän 	4
 menisiköhän	men-isi-kö-hän 	4
 merkitseeköhän	merkitse-e-kö-hän 	4
 myydäänköhän	myy-dään-kö-hän 	4
 näkeeköhän	näke-e-kö-hän 	4
 näyttäisköhän	näyttä-is-kö-hän 	4
 pääseeköhän	pääse-e-kö-hän 	4
 pääsiköhän	pääs-i-kö-hän 	4
 päästäänköhän	pääs-tään-kö-hän 	4
 pidelläänköhän	pidel-lään-kö-hän 	4
 piileeköhän	piile-e-kö-hän 	4
 pitääköhän	pitä-ä-kö-hän 	4
 pitäisiköhän	pitä-isi-kö-hän 	4
 pitäisköhän	pitä-is-kö-hän 	4
 pitiköhän	pit-i-kö-hän 	4
 pystyisiköhän	pysty-isi-kö-hän 	4
 pystyisköhän	pysty-is-kö-hän 	4
 pysyisiköhän	pysy-isi-kö-hän 	4
 pysyyköhän	pysy-y-kö-hän 	4
 riittääköhän	riittä-ä-kö-hän 	4
 riittäisiköhän	riittä-isi-kö-hän 	4
 selviänköhän	selviä-n-kö-hän 	4
 täyttäisköhän	täyttä-is-kö-hän 	4
 täytyisiköhän	täyty-isi-kö-hän 	4
 täytyyköhän	täyty-y-kö-hän 	4
 teenköhän	tee-n-kö-hän 	4
 tekeeköhän	teke-e-kö-hän 	4
 tiedätteköhän	tiedä-tte-kö-hän 	4
 tietääköhän	tietä-ä-kö-hän 	4
 tietäisiköhän	tietä-isi-kö-hän 	4
 venähtääköhän	venähtä-ä-kö-hän 	4
 ehtisinköhän	eht-isi-n-kö-hän 	5
 heräsinköhän	heräs-i-n-kö-hän 	5
 käsititköhän	käsit-i-t-kö-hän 	5
 leikkivätköhän	leikki-vä-t-kö-hän 	5
 löytäisinköhän	löytä-isi-n-kö-hän 	5
 näitköhän	nä-i-t-kö-hän 	5
 päädyinköhän	päädy-i-n-kö-hän 	5
 pääsisinköhän	pääs-isi-n-kö-hän 	5
 pelkäävätköhän	pelkää-vä-t-kö-hän 	5
 pystyisinköhän	pysty-isi-n-kö-hän 	5
 selviävätköhän	selviä-vä-t-kö-hän 	5
 selviytyisivätköhän	selviyty-isi-vät-kö-hän 	5
