armo	Hän pyysi Jumalalta armoa.
aasi	Aasi on hyvin älykäs eläin.
ala	Hän ei ala ala-arvoiseen työhön.
arpa	Hän voitti suuren summan rahaa arpajaisista ostamallaan arpalla.
kilo	Ostin viisi kiloa omenoita torilta.
kirja	Hän luki kirja kirja -menetelmällä koko kirjaston läpi.
demo	Bändi on juuri julkaissut uuden demo demon.
kikka	Hän käytti vanhaa kikkaa saadakseen autonsa käynnistymään.
laakeri	Auton laakeri on rikki ja se täytyy vaihtaa.
leppä	Leppä leppä on kaunis puu Suomessa.
kirjain	Kirjoita se kirjain kirjain, jotta et tee virheitä.
akku	Minun täytyy ladata puhelimeni akku.
kiekko	Hän heitti kiekon kiekko-ottelussa.
ehto	Hän saapui juuri ennen auringonlaskua, joka oli hänen saapumisensa ehto.
keppi	Hän otti keppi keppi ja alkoi kävellä metsässä.
kierto	Kierto kierto -menetelmä on erittäin tehokas tapa oppia uusia asioita.
aho	Kävelin rauhallisesti aho aho, nauttien luonnon kauneudesta.
laguuni	Hän vietti päivänsä uiden kauniissa laguunissa.
hyponyymi	Hyponyymi on alakäsite, joka kuuluu jonkin yläkäsitteen alle.
apu	Tarvitsen apuasi tämän tehtävän kanssa.
humu	Kesäjuhlien humu oli korviahuumaava.
hymy	Hänen kasvoillaan oli leveä hymy.
elämä	Elämä on kaunis ja arvokas lahja.
hirmu	Hän juoksi hirmu hirmu nopeasti.
aito	Tämä on aito aito, ei jäljennös.
ihme	On todellinen ihme, että hän selvisi onnettomuudesta vahingoittumattomana.
hervoton	Hän nauroi hervoton hervoton nauruaan.
arrogantti	Hän on todella arrogantti henkilö.
eksistentiaali	Eksistentiaali on filosofian haara, joka keskittyy ihmisen vapauteen ja yksilöllisyyteen.
heikohko	Hänen suorituksensa oli heikohko tänään.
delikaatti	Tämä juusto on erittäin delikaatti.
halpa	Tämä tuote on todella halpa.
affiini	Matematiikassa affiini muunnos on erityinen lineaarinen muunnos.
haalea	Veden lämpötila on haalea tänään.
fiksu	Hän on todella fiksu henkilö.
iloinen	Olen todella iloinen, että tulit käymään.
häkäinen	Auto oli niin häkäinen, että se oli vaarallinen hengittää sisään.
surullinen	Hän näytti hyvin surulliselta menetettyään lemmikkikoiransa.
vihainen	Hän on todella vihainen sinulle.
rohkea	Hän on todella rohkea henkilö.
pelottava	Se on todella pelottava elokuva, jota en halua katsoa yksin.
hauska	On aina hauska tavata uusia ihmisiä.
hoikka	Hän on erittäin hoikka nainen.
roteva	Hän on roteva mies, joka tekee kovasti töitä.
laiha	Hän on liian laiha syömään niin vähän.
pehmeä	Tämä peitto on erittäin pehmeä.
robusti	Tämä rakennus on erittäin robusti ja kestävä.
sileä	Tämä kangas on erittäin sileä.
kova	Hän on kova kova työskentelemään pitkiä tunteja.
karhea	Hänen partansa oli karhea karhea, kuin hiekkapaperi.
